codigo_colegiado|dni_paciente|fecha_operacion|sala|turno
2|45454575A|2021-06-15|10|M
3|85584125B|2021-06-15|10|T
2|62618575C|2021-06-16|11|M
4|15417575D|2021-06-16|11|T
5|84527575X|2021-06-20|21|M
4|18857575D|2021-06-22|21|M
4|16549841F|2021-06-23|2|M
4|49855541F|2021-06-24|2|M
7|49855541F|2021-07-24|2|M
7|49855541F|2021-08-24|10|M
4|49855541F|2021-09-24|2|T
5|62618575C|2021-06-23|12|M
5|62618575C|2021-06-24|12|M
5|62618575C|2021-07-24|12|M
3|62618575C|2021-08-24|12|T
3|62618575C|2021-09-24|12|T
